strategy_name,variant,share_size,windows_tested,windows_traded,skipped_windows,trade_rate_pct,total_orders_placed,total_orders_filled,fill_rate_pct,total_up_shares,total_down_shares,avg_up_shares_per_traded_window,avg_down_shares_per_traded_window,avg_imbalance_shares,max_imbalance_shares,avg_cost_per_window,avg_cost_per_traded_window,avg_up_entry,avg_down_entry,avg_pair_sum_when_balanced,balanced_windows,balanced_rate_pct,ideal_basket_windows_avg_sum_le_095,good_basket_windows_avg_sum_le_097,gross_total_pnl,gross_roi_pct,gross_avg_pnl_per_window,gross_avg_pnl_per_traded_window,net_total_pnl_after_fee_buffer,net_roi_pct,net_avg_pnl_per_window,net_avg_pnl_per_traded_window,win_windows,loss_windows,win_rate_pct,profit_factor,max_drawdown,best_window_pnl,worst_window_pnl,avg_orders_per_window,avg_hold_time_seconds,avg_entry_time_seconds,late_fills_count,notes
Avg-Sum Target Bot,AvgSum_095,1,2671,0,2671,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Avg-Sum Target Bot,AvgSum_095,2,2671,0,2671,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Avg-Sum Target Bot,AvgSum_095,3,2671,0,2671,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Avg-Sum Target Bot,AvgSum_095,5,2671,0,2671,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Avg-Sum Target Bot,AvgSum_097,1,2671,0,2671,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Avg-Sum Target Bot,AvgSum_097,2,2671,0,2671,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Avg-Sum Target Bot,AvgSum_097,3,2671,0,2671,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Avg-Sum Target Bot,AvgSum_097,5,2671,0,2671,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Avg-Sum Target Bot,AvgSum_099,1,2671,0,2671,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Avg-Sum Target Bot,AvgSum_099,2,2671,0,2671,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Avg-Sum Target Bot,AvgSum_099,3,2671,0,2671,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Avg-Sum Target Bot,AvgSum_099,5,2671,0,2671,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Deep Ladder Both Sides,base,1,2671,2008,663,75.17783601647324,9096,6678,73.41688654353563,3345,3333,1.6658366533864541,1.6598605577689243,1.3953575439910146,2,1.1209434668663423,1.4910557768924302,0.45013458162668224,0.44738662790697675,0.9000281491907107,1421,53.20104829651816,1421,1421,-195.04000000000005,-6.5142750263857545,-0.07302134032197681,-0.09713147410358568,-315.2440000000001,-10.529051048082193,-0.11802470984649947,-0.15699402390438252,1324,684,49.56944964432797,0.4275472588933881,-316.8900000000067,1.274,-1.246,3.4054661175589667,288.76394422310756,11.23605577689243,79,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Deep Ladder Both Sides,base,2,2671,2008,663,75.17783601647324,9096,6678,73.41688654353563,6690,6666,3.3316733067729083,3.3197211155378485,2.7907150879820293,4,2.2418869337326846,2.9821115537848604,0.45013458162668224,0.44738662790697675,0.9000281491907107,1421,53.20104829651816,1421,1421,-390.0800000000001,-6.5142750263857545,-0.14604268064395362,-0.19426294820717135,-630.4880000000002,-10.529051048082193,-0.23604941969299895,-0.31398804780876505,1324,684,49.56944964432797,0.4275472588933881,-633.7800000000134,2.548,-2.492,3.4054661175589667,288.76394422310756,11.23605577689243,79,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Deep Ladder Both Sides,base,3,2671,2008,663,75.17783601647324,9096,6678,73.41688654353563,10035,9999,4.997509960159363,4.979581673306773,4.186072631973044,6,3.3628304005990266,4.473167330677291,0.4501345816266823,0.44738662790697675,0.9000281491907108,1421,53.20104829651816,1421,1421,-585.1200000000003,-6.514275026385756,-0.2190640209659305,-0.29139442231075713,-945.7320000000003,-10.529051048082191,-0.3540741295394984,-0.47098207171314754,1324,684,49.56944964432797,0.42754725889338807,-950.6699999999947,3.8219999999999996,-3.738,3.4054661175589667,288.76394422310756,11.23605577689243,79,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Deep Ladder Both Sides,base,5,2671,2008,663,75.17783601647324,9096,6678,73.41688654353563,16725,16665,8.32918326693227,8.29930278884462,6.976787719955073,10,5.604717334331711,7.455278884462151,0.45013458162668224,0.44738662790697675,0.9000281491907107,1421,53.20104829651816,1421,1421,-975.2,-6.514275026385753,-0.36510670160988395,-0.4856573705179283,-1576.22,-10.52905104808219,-0.5901235492324972,-0.7849701195219123,1324,684,49.56944964432797,0.42754725889338835,-1584.4499999999812,6.37,-6.2299999999999995,3.4054661175589667,288.76394422310756,11.23605577689243,79,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
"Imbalance Allowed, Rebalance Only Cheap",base,1,2671,2008,663,75.17783601647324,9587,6132,63.96161468655471,3078,3054,1.5328685258964143,1.5209163346613546,1.098090602770498,2,1.0294533882441033,1.3693575697211156,0.45222937390286716,0.4498779069767442,0.9027902885292047,1421,53.20104829651816,1389,1415,-181.67000000000002,-6.6069746551404345,-0.06801572444777237,-0.09047310756972113,-292.04600000000005,-10.621129080944261,-0.10933957319356048,-0.14544123505976098,1152,856,43.129913889928865,0.42121201311184303,-294.0680000000032,1.274,-1.246,3.5892923998502435,288.76394422310756,11.23605577689243,109,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
"Imbalance Allowed, Rebalance Only Cheap",base,2,2671,2008,663,75.17783601647324,9587,6132,63.96161468655471,6156,6108,3.0657370517928286,3.041832669322709,2.196181205540996,4,2.0589067764882065,2.738715139442231,0.45222937390286716,0.4498779069767442,0.9027902885292047,1421,53.20104829651816,1389,1415,-363.34000000000003,-6.6069746551404345,-0.13603144889554475,-0.18094621513944226,-584.0920000000001,-10.621129080944261,-0.21867914638712097,-0.29088247011952195,1152,856,43.129913889928865,0.42121201311184303,-588.1360000000064,2.548,-2.492,3.5892923998502435,288.76394422310756,11.23605577689243,109,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
"Imbalance Allowed, Rebalance Only Cheap",base,3,2671,2008,663,75.17783601647324,9587,6132,63.96161468655471,9234,9162,4.598605577689243,4.562749003984064,3.294271808311494,6,3.0883601647323102,4.108072709163347,0.45222937390286716,0.4498779069767442,0.9027902885292048,1421,53.20104829651816,1389,1413,-545.0100000000002,-6.606974655140437,-0.20404717334331718,-0.27141932270916347,-876.1380000000003,-10.621129080944263,-0.3280187195806815,-0.436323705179283,1152,856,43.129913889928865,0.4212120131118429,-882.2039999999981,3.8219999999999996,-3.738,3.5892923998502435,288.76394422310756,11.23605577689243,109,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
"Imbalance Allowed, Rebalance Only Cheap",base,5,2671,2008,663,75.17783601647324,9587,6132,63.96161468655471,15390,15270,7.664342629482071,7.604581673306773,5.490453013852489,10,5.147266941220517,6.846787848605578,0.45222937390286716,0.4498779069767442,0.9027902885292047,1421,53.20104829651816,1389,1415,-908.3500000000001,-6.606974655140436,-0.3400786222388619,-0.45236553784860567,-1460.23,-10.62112908094426,-0.5466978659678023,-0.7272061752988048,1152,856,43.129913889928865,0.42121201311184303,-1470.3399999999947,6.37,-6.2299999999999995,3.5892923998502435,288.76394422310756,11.23605577689243,109,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Momentum-Discount Hedge,base,1,2671,1685,986,63.08498689629352,90109,87905,97.55407339999334,58621,29284,34.78991097922849,17.379228486646884,28.815424934481467,66,10.400041183077498,16.485762611275963,0.34177473892796634,0.41053698355909957,0.7665594767604499,1215,45.48858105578435,1165,1214,-6571.509999999999,-23.656812406424965,-2.4603182328715834,-3.9000059347181004,-8153.799999999999,-29.35290625739105,-3.052714339198802,-4.839050445103857,466,1219,17.44664919505803,0.5653215079118331,-8193.970000000008,45.012,-21.188,33.736053912392364,258.4967359050445,41.50326409495549,5189,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Momentum-Discount Hedge,base,2,2671,1685,986,63.08498689629352,47570,45711,96.0920748370822,62090,29332,36.8486646884273,17.407715133531156,28.836390864844628,66,11.216443279670536,17.779893175074182,0.347608028079446,0.412815535240705,0.779740002188518,1115,41.7446649195058,1082,1111,-3987.1199999999994,-13.30853509715906,-1.492744290527892,-2.366243323442136,-5632.715999999999,-18.801339959251138,-2.1088416323474353,-3.3428581602373884,494,1191,18.494945713216023,0.6878521192324267,-5731.520000000001,45.012,-21.188,17.80980906027705,258.4967359050445,41.50326409495549,1414,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Momentum-Discount Hedge,base,3,2671,1685,986,63.08498689629352,31423,29766,94.72679247684817,62403,26895,37.034421364985164,15.961424332344214,27.303257207038563,66,11.344694870834893,17.98319287833828,0.35385773968282036,0.4184799767723839,0.7962685107009484,1043,39.04904530138525,1017,1039,-2998.6799999999985,-9.896084969546239,-1.1226806439535748,-1.7796320474777438,-4606.043999999998,-15.200622539740365,-1.7244642456008978,-2.7335572700296726,520,1165,19.468363908648445,0.7272729533499102,-4720.883999999993,45.012,-21.167999999999996,11.76450767502808,258.4967359050445,41.50326409495549,688,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Momentum-Discount Hedge,base,5,2671,1685,986,63.08498689629352,18224,16793,92.14771729587358,61875,22090,36.72106824925816,13.109792284866469,24.85398727068514,65,11.32809809060277,17.956884272997033,0.367514584515498,0.4369572265599456,0.8355683394091289,950,35.5672032946462,920,945,-2247.3500000000004,-7.427451511781436,-0.8413889928865594,-1.333738872403561,-3758.72,-12.422502301093784,-1.40723324597529,-2.230694362017804,592,1093,22.163983526769,0.7538590494152161,-3905.5900000000024,44.33,-21.17,6.822912766754024,258.4967359050445,41.50326409495549,339,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
Panic Wick Catcher,base,1,2671,2001,670,74.91576188693374,120099,112841,93.95665242841322,56347,56494,28.159420289855074,28.23288355822089,35.48670909771621,77,12.00224260576563,16.020984507746128,0.3463392163497975,0.34645697233101996,0.7273742758791318,1397,52.302508423811304,1396,1396,-7069.99,-22.053753214097327,-2.6469449644327967,-3.5332283858070963,-9101.128,-28.389577762049335,-3.4073859977536505,-4.548289855072464,523,1478,19.580681392736803,0.5554289852121768,-9173.006000000008,53.988,-21.317999999999998,44.96405840509173,266.1079460269865,33.892053973013496,6937,approximate fills from displayed side prices; no historical bid/ask ladder in source dataset
